lng_h,lat_h,lng_w,lat_w
11.96313082,48.0944896,11.96313082,48.0944896
11.96315367,48.0945684,11.96313082,48.0944896
12.08490973,47.84248048,11.96315367,48.0945684
12.13473556,47.86025251,12.08490973,47.84248048
11.96311732,48.09459659,12.13473556,47.86025251
11.96308187,48.09443148,11.96311732,48.09459659
11.96545094,48.04848927,11.96308187,48.09443148
11.5037832,48.08746908,11.96545094,48.04848927
11.96315241,48.09451483,11.5037832,48.08746908
11.95504098,48.07598564,11.96315241,48.09451483
11.96308955,48.0945348,11.95504098,48.07598564
11.9651606,48.04838899,11.96308955,48.0945348
11.96320125,48.09452538,11.9651606,48.04838899
11.50385843,48.08722164,11.96320125,48.09452538
11.96305791,48.094486,11.50385843,48.08722164
11.98643527,48.07930469,11.96305791,48.094486
11.96308807,48.09455366,11.98643527,48.07930469
11.9699965,48.0771045,11.96308807,48.09455366
11.96396577,48.09408445,11.9699965,48.0771045
11.96895454,48.0454319,11.96396577,48.09408445
11.96331127,48.09436647,11.96895454,48.0454319
11.88948427,48.30954983,11.96331127,48.09436647
11.62667671,48.09970298,11.88948427,48.30954983
11.66371085,48.04072406,11.62667671,48.09970298
11.50449736,48.08769543,11.66371085,48.04072406
11.53108517,48.18298673,11.50449736,48.08769543
N/A,N/A,11.53108517,48.18298673
11.96307349,48.09445421,N/A,N/A
N/A,N/A,11.96307349,48.09445421
11.96319932,48.09448149,N/A,N/A
11.96316977,48.09450789,11.96319932,48.09448149
12.16069529,48.06588607,11.96316977,48.09450789
N/A,N/A,12.16069529,48.06588607
11.96308807,48.09455366,N/A,N/A
11.96306298,48.09453157,11.96308807,48.09455366
11.96307397,48.09456659,11.96306298,48.09453157
N/A,N/A,11.96307397,48.09456659
9.00585531,49.74204833,N/A,N/A
9.00344374,49.74679854,9.00585531,49.74204833
8.95553429,49.6844521,9.00344374,49.74679854
8.5628493,49.52531063,8.95553429,49.6844521
8.78555743,49.65497812,8.5628493,49.52531063
8.95569188,49.68451504,8.78555743,49.65497812
8.95569188,49.68451504,8.95569188,49.68451504
9.00420731,49.74330585,8.95569188,49.68451504
8.95569188,49.68451504,9.00420731,49.74330585
8.99047602,49.66015567,8.95569188,49.68451504
N/A,N/A,8.99047602,49.66015567
9.0020324,49.68252608,N/A,N/A
,,9.0020324,49.68252608
