lng_h,lat_h,lng_w,lat_w,promt 
11.96313082,48.0944896,11.96313082,48.0944896,1
11.96315367,48.0945684,11.96313082,48.0944896,2
12.08490973,47.84248048,11.96315367,48.0945684,3
12.13473556,47.86025251,12.08490973,47.84248048,4
11.96311732,48.09459659,12.13473556,47.86025251,5
11.96308187,48.09443148,11.96311732,48.09459659,6
11.96545094,48.04848927,11.96308187,48.09443148,7
11.5037832,48.08746908,11.96545094,48.04848927,8
11.96315241,48.09451483,11.5037832,48.08746908,9
11.95504098,48.07598564,11.96315241,48.09451483,10
11.96308955,48.0945348,11.95504098,48.07598564,11
11.9651606,48.04838899,11.96308955,48.0945348,12
11.96320125,48.09452538,11.9651606,48.04838899,13
11.50385843,48.08722164,11.96320125,48.09452538,14
11.96305791,48.094486,11.50385843,48.08722164,15
11.98643527,48.07930469,11.96305791,48.094486,16
11.96308807,48.09455366,11.98643527,48.07930469,17
11.9699965,48.0771045,11.96308807,48.09455366,18
11.96396577,48.09408445,11.9699965,48.0771045,19
11.96895454,48.0454319,11.96396577,48.09408445,20
11.96331127,48.09436647,11.96895454,48.0454319,21
11.88948427,48.30954983,11.96331127,48.09436647,22
11.62667671,48.09970298,11.88948427,48.30954983,23
11.66371085,48.04072406,11.62667671,48.09970298,24
11.50449736,48.08769543,11.66371085,48.04072406,25
11.53108517,48.18298673,11.50449736,48.08769543,26
N/A,N/A,11.53108517,48.18298673,27
11.96307349,48.09445421,N/A,N/A,28
N/A,N/A,11.96307349,48.09445421,29
11.96319932,48.09448149,N/A,N/A,30
11.96316977,48.09450789,11.96319932,48.09448149,31
12.16069529,48.06588607,11.96316977,48.09450789,32
N/A,N/A,12.16069529,48.06588607,33
11.96308807,48.09455366,N/A,N/A,34
11.96306298,48.09453157,11.96308807,48.09455366,35
11.96307397,48.09456659,11.96306298,48.09453157,36
N/A,N/A,11.96307397,48.09456659,37
9.00585531,49.74204833,N/A,N/A,38
9.00344374,49.74679854,9.00585531,49.74204833,39
8.95553429,49.6844521,9.00344374,49.74679854,40
8.5628493,49.52531063,8.95553429,49.6844521,41
8.78555743,49.65497812,8.5628493,49.52531063,42
8.95569188,49.68451504,8.78555743,49.65497812,43
8.95569188,49.68451504,8.95569188,49.68451504,44
9.00420731,49.74330585,8.95569188,49.68451504,45
8.95569188,49.68451504,9.00420731,49.74330585,46
8.99047602,49.66015567,8.95569188,49.68451504,47
N/A,N/A,8.99047602,49.66015567,48
9.0020324,49.68252608,N/A,N/A,49
,,9.0020324,49.68252608,50
